"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","id","state_abbrev"
2020-01-25,4,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-01-26,4,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-01-27,5,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-01-28,5,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-01-29,9,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-01-30,9,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-01-31,9,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-01,10,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-02,12,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-03,12,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-04,13,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-05,14,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-06,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-07,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-08,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-09,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-10,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-11,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-12,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-13,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-14,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-15,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-16,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-17,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-18,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-19,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-20,15,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-21,19,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-22,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-23,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-24,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-25,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-26,20,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-27,23,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-28,25,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-02-29,25,0,0,0,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-01,28,1,0,28,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-02,32,1,0,32,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-03,40,1,0,40,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-04,51,2,0,51,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-05,59,2,0,59,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-06,63,2,0,63,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-07,73,2,7214,73,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-08,80,3,8008,80,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-09,92,3,8371,92,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-10,112,3,10165,112,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-11,127,3,10221,127,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-12,157,3,14856,157,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-13,198,4,16685,198,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-14,249,4,20496,249,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-15,297,6,22567,297,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-16,376,6,38664,376,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-17,454,6,44444,454,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-18,567,7,51000,567,0,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-19,709,7,83333,709,28,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-20,847,8,91399,847,39,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-21,1072,8,100284,1072,51,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-22,1352,8,109286,1352,70,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-23,1680,8,115643,1680,97,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-24,2050,9,123200,2050,113,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-25,2430,10,156086,2430,129,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-26,2809,14,176505,2809,151,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-27,3180,14,192784,3180,204,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-28,3640,15,208035,3640,223,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-29,3984,17,223514,3984,225,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-30,4250,19,231168,4250,291,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-31,4561,20,242924,4561,345,32,6,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-01,4864,21,256953,4864,418,400,76,33,25459470,1,"Australia",NA,NA,"99999999",NA
